2026-06-14 14:41:10,801 | DEBUG | Using selector: SelectSelector
2026-06-14 14:41:15,596 | DEBUG | Using selector: SelectSelector
2026-06-14 14:41:17,008 | DEBUG | Using selector: SelectSelector
2026-06-14 14:41:18,385 | DEBUG | Using selector: SelectSelector
2026-06-14 14:41:20,194 | DEBUG | Using selector: SelectSelector
2026-06-14 14:41:31,499 | DEBUG | Using selector: SelectSelector
2026-06-14 14:41:42,228 | DEBUG | Using selector: SelectSelector
2026-06-14 14:42:01,939 | DEBUG | Using selector: SelectSelector
2026-06-14 14:42:08,054 | DEBUG | Using selector: SelectSelector
2026-06-14 14:42:34,049 | DEBUG | Using selector: SelectSelector
2026-06-14 14:43:39,603 | DEBUG | Using selector: SelectSelector
2026-06-14 14:43:47,654 | DEBUG | Using selector: SelectSelector
2026-06-14 14:44:30,431 | DEBUG | Using selector: SelectSelector
2026-06-14 14:44:31,824 | DEBUG | Using selector: SelectSelector
2026-06-14 14:44:34,314 | DEBUG | Using selector: SelectSelector
2026-06-14 14:44:41,031 | DEBUG | Using selector: SelectSelector
2026-06-14 14:44:44,463 | DEBUG | Using selector: SelectSelector
2026-06-14 14:44:58,585 | DEBUG | Using selector: SelectSelector
2026-06-14 14:45:00,004 | DEBUG | Using selector: SelectSelector
2026-06-14 14:45:10,653 | DEBUG | Using selector: SelectSelector
2026-06-14 14:45:16,332 | DEBUG | Using selector: SelectSelector
2026-06-14 14:47:33,338 | DEBUG | Using selector: SelectSelector
2026-06-14 14:48:12,559 | DEBUG | Using selector: SelectSelector
2026-06-14 14:48:46,423 | DEBUG | Using selector: SelectSelector
2026-06-14 14:48:51,803 | DEBUG | User wants to see a book by id
2026-06-14 14:49:13,151 | DEBUG | Using selector: SelectSelector
2026-06-14 14:49:17,721 | DEBUG | Using selector: SelectSelector
2026-06-14 14:49:28,225 | DEBUG | Using selector: SelectSelector
2026-06-14 14:49:43,238 | DEBUG | Using selector: SelectSelector
2026-06-14 14:49:43,334 | DEBUG | User wants to see a book by id
2026-06-14 14:49:50,748 | DEBUG | Using selector: SelectSelector
2026-06-14 14:49:53,378 | DEBUG | User wants to see a book by id
2026-06-14 14:50:16,829 | DEBUG | Using selector: SelectSelector
2026-06-14 14:50:18,206 | DEBUG | Using selector: SelectSelector
2026-06-14 14:50:24,896 | DEBUG | Using selector: SelectSelector
2026-06-14 14:50:26,977 | DEBUG | Using selector: SelectSelector
2026-06-14 14:50:28,382 | DEBUG | Using selector: SelectSelector
2026-06-14 14:50:28,768 | DEBUG | User wants to see a book by id
2026-06-14 14:50:28,799 | DEBUG | AAA
2026-06-14 14:51:44,604 | DEBUG | Using selector: SelectSelector
2026-06-14 14:51:54,289 | DEBUG | Using selector: SelectSelector
2026-06-14 14:52:26,750 | DEBUG | User wants to see a book by id
2026-06-14 14:52:49,349 | DEBUG | Using selector: SelectSelector
2026-06-14 14:52:49,538 | DEBUG | User wants to see a book by id
2026-06-14 14:52:49,568 | DEBUG | AAA
2026-06-14 14:52:59,310 | DEBUG | Using selector: SelectSelector
2026-06-14 14:53:15,302 | DEBUG | Using selector: SelectSelector
2026-06-14 14:53:21,887 | DEBUG | Using selector: SelectSelector
2026-06-14 14:53:29,221 | DEBUG | Using selector: SelectSelector
2026-06-14 14:53:34,887 | DEBUG | Using selector: SelectSelector
2026-06-14 14:53:36,600 | DEBUG | Using selector: SelectSelector
2026-06-14 14:53:41,920 | DEBUG | Using selector: SelectSelector
2026-06-14 14:53:42,108 | DEBUG | User wants to see a book by id
2026-06-14 14:53:42,148 | DEBUG | AAA
2026-06-14 14:53:52,756 | DEBUG | Using selector: SelectSelector
2026-06-14 14:54:35,083 | DEBUG | Using selector: SelectSelector
2026-06-14 14:54:36,985 | DEBUG | Using selector: SelectSelector
2026-06-14 14:54:37,155 | DEBUG | User wants to see a book by id
2026-06-14 14:54:46,297 | DEBUG | Using selector: SelectSelector
2026-06-14 14:55:06,742 | DEBUG | Using selector: SelectSelector
2026-06-14 14:55:18,503 | DEBUG | Using selector: SelectSelector
2026-06-14 14:55:22,198 | DEBUG | Using selector: SelectSelector
2026-06-14 14:55:24,312 | DEBUG | User wants to see a book by id
2026-06-14 14:55:31,956 | DEBUG | Using selector: SelectSelector
2026-06-14 14:55:58,845 | DEBUG | Using selector: SelectSelector
2026-06-14 14:55:59,542 | DEBUG | User wants to see a book by id
2026-06-14 14:56:37,586 | DEBUG | Using selector: SelectSelector
2026-06-14 14:56:42,193 | DEBUG | Using selector: SelectSelector
2026-06-14 14:56:44,156 | DEBUG | User wants to see a book by id
2026-06-14 14:56:49,409 | DEBUG | User wants to see a book by id
2026-06-14 14:56:50,641 | DEBUG | Using selector: SelectSelector
2026-06-14 14:56:57,903 | DEBUG | Using selector: SelectSelector
2026-06-14 14:56:59,840 | DEBUG | User wants to see a book by id
2026-06-14 14:56:59,882 | INFO | The book were successfully displayed
2026-06-14 14:57:19,588 | DEBUG | Using selector: SelectSelector
2026-06-14 14:57:23,519 | DEBUG | User wants to see a book by id
2026-06-14 14:57:23,573 | INFO | The book were successfully displayed
2026-06-14 14:57:29,390 | DEBUG | User wants to see a book by id
2026-06-14 14:57:29,486 | INFO | The book were successfully displayed
2026-06-14 14:57:37,967 | DEBUG | User wants to see a book by id
2026-06-14 14:57:38,021 | INFO | The book were successfully displayed
2026-06-14 14:59:00,612 | DEBUG | Using selector: SelectSelector
2026-06-14 14:59:05,788 | DEBUG | User wants to see a book by id
2026-06-14 14:59:05,937 | INFO | The book were successfully displayed
2026-06-14 14:59:15,181 | DEBUG | Using selector: SelectSelector
2026-06-14 15:00:52,726 | DEBUG | Using selector: SelectSelector
2026-06-14 15:01:32,361 | DEBUG | Using selector: SelectSelector
2026-06-14 15:01:56,836 | DEBUG | Using selector: SelectSelector
